bucket,recommended_action,url,slug,title,word_count,char_count,is_empty,is_thin,template_overlap_pct,template_near_dup,gsc_impressions_365d,gsc_clicks_365d,gsc_position_avg,gsc_ctr_pct,potential_score,h1_count,h1_first,http_status
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/comprehensive-rehabilitation-center-in-croton-ridge-ny,comprehensive-rehabilitation-center-in-croton-ridge-ny,,611,3782,,,6.9,,104,0,14.9,,104,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/professional-addiction-rehab-in-tilly-foster-ny,professional-addiction-rehab-in-tilly-foster-ny,,479,2847,,,5.8,,95,0,7.6,,95,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/professional-alcohol-rehab-center-in-crompond-ny,professional-alcohol-rehab-center-in-crompond-ny,,589,3672,,,2.9,,270,0,44.2,,81,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/premier-recovery-center-in-manhattan-ny,premier-recovery-center-in-manhattan-ny,,497,3138,,,4.7,,95,2,22.3,2.1,76,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/effective-rehab-center-in-kent-lakes-ny,effective-rehab-center-in-kent-lakes-ny,,468,2870,,,2.8,,75,0,11.9,,75,0,,200
Q3+,"EXPAND — thin original, add genuine local content",https://www.armsacres.com/suburb/leading-addiction-treatment-center-in-shenorock-ny,leading-addiction-treatment-center-in-shenorock-ny,,350,2277,,TRUE,5.1,,100,1,20.9,1.0,75,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/local-addiction-treatment-center-in-whitehall-corners-ny,local-addiction-treatment-center-in-whitehall-corners-ny,,590,3426,,,1.7,,150,0,40.4,,45,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/specialized-alcohol-rehab-center-in-merritt-park-ny,specialized-alcohol-rehab-center-in-merritt-park-ny,,613,3808,,,1.9,,40,0,19.4,,40,0,,200
Q3+,"EXPAND — thin original, add genuine local content",https://www.armsacres.com/suburb/reliable-addiction-treatment-center-in-continental-village-ny,reliable-addiction-treatment-center-in-continental-village-ny,,365,2433,,TRUE,5.0,,130,0,50.0,,39,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/local-alcohol-rehab-center-in-woodybrook-ny,local-alcohol-rehab-center-in-woodybrook-ny,,571,3541,,,1.7,,35,0,32.2,,24,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/top-alcohol-rehab-center-in-secor-corners-ny,top-alcohol-rehab-center-in-secor-corners-ny,,500,3171,,,6.7,,18,0,11.0,,18,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/exceptional-alcohol-rehab-center-in-bethel-ny,exceptional-alcohol-rehab-center-in-bethel-ny,,492,3107,,,6.8,,17,0,10.6,,17,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/premier-alcohol-rehab-center-in-towners-ny,premier-alcohol-rehab-center-in-towners-ny,,527,3277,,,7.1,,9,0,8.7,,9,0,,200
